"Subject","Family_ID"
"100307","51488_81352"
"100408","51730_81594"
"100610","52813_82634"
"101006","51283_52850_81149"
"101309","52385_82248"
"101915","51977_81841"
"102008","52018_81882"
"102311","51679_81543"
"102513","56077_85897"
"102816","51418_81283"
"103111","51351_81216"
"103414","52198_82061"
"103515","51537_52707_81401"
"103818","51343_81208"
"104012","51678_81542"
"104416","54643_84465"
"104820","51283_52850_81149"
"105014","51451_81316"
"105115","51820_81684"
"105216","51527_81391"
"105923","52925_82747"
"106319","51527_81391"
"106521","51468_81333"
"107018","51676_81540"
"107321","52493_82328_82671"
"107422","54628_84450"
"107725","52921_82743"
"108121","51566_81430"
"108222","52925_82747"
"108525","52586_99991_99992_99993"
"108828","52054_81918"
"109123","51750_81614"
"109325","52270_82133"
"110411","51303_81168"
"111009","51495_81359"
"111413","51476_81340"
"111514","51750_81614"
"112516","51340_81205"
"112920","51798_81662"
"113215","51424_81289"
"113619","51750_81614"
"113922","51752_81616"
"114217","55703_85525"
"114318","51989_81853"
"114419","52872_82694"
"114621","53303_83125"
"114823","99996_99997"
"115017","52158_82021"
"115219","52823_82644"
"115320","51305_81170"
"115825","56016_85837_99974"
"116524","52769_82590_99986"
"117122","51455_81320"
"117324","51529_81393_82672"
"117930","56120_85940"
"118023","51676_81540"
"118124","51421_81286"
"118225","52813_82634"
"118730","51419_81284"
"118932","51295_81161"
"120111","51476_81340"
"120212","51324_81189"
"120717","55706_85528"
"121416","51945_81809"
"121618","52907_82729"
"121921","51673_81537"
"122317","51802_81666"
"122822","51318_81183"
"123117","52496_82331"
"123420","51916_81780"
"123521","56073_85894"
"123723","51106_80975"
"123925","51644_81508_99994"
"124220","51485_81349"
"124624","51798_81662"
"124826","51351_81216"
"125525","51304_81169"
"126325","51477_81341"
"126628","52338_82201"
"127226","55892_85712"
"127630","52526_82359"
"127731","51529_81393_82672"
"127832","51300_81166"
"127933","51831_81695"
"128127","51593_81457"
"128632","51347_81212"
"128935","51707_81571"
"129028","51833_81697"
"129129","51678_81542"
"129331","52194_82057"
"130013","51478_81342"
"130114","55766_85587"
"130316","51559_81423"
"130417","52809_82630"
"130619","55694_85516"
"130821","56016_85837_99974"
"130922","51527_81391"
"131217","52251_82114"
"131419","55686_85508"
"131722","52364_82227"
"131924","52018_81882"
"132017","53000_82822"
"133019","51639_81503"
"133625","51833_81697"
"133827","51394_81259"
"133928","51716_82528"
"134324","51336_81201"
"134425","51336_81201"
"135225","52006_81870"
"135528","51672_81536"
"135730","53303_83125"
"135932","51424_81289"
"136227","52755_82576"
"136732","51676_81540"
"136833","51526_81390"
"137027","51786_81650"
"137128","51526_81390"
"137229","55699_85521"
"137633","52018_81882"
"137936","52769_82590_99986"
"138231","51304_81169"
"138534","52380_82243"
"139839","52848_82669"
"140824","51977_81841"
"140925","52587_82406_99978"
"141119","52823_82644"
"141422","52134_81998"
"142828","51480_81344"
"143325","51343_81208"
"144428","51717_81581"
"144731","55694_85516"
"144832","51426_81291"
"145834","51679_81543"
"146331","52586_99991_99992_99993"
"146432","51702_81566"
"146937","52938_82760"
"147636","51753_81617"
"148032","51730_81594"
"148133","51612_81476"
"148335","51945_81809"
"148941","52326_82189"
"149236","54645_84467"
"149337","51717_81581"
"149539","51527_81391"
"149741","52747_82568"
"149842","55890_85710"
"150726","51866_81730"
"151223","51329_81194"
"151324","52115_81979"
"151425","51628_81492"
"151526","52312_82175"
"151627","51289_81155"
"151829","55890_85710"
"152225","55694_85516"
"152831","51969_81833"
"153025","51566_81430"
"153429","51347_81212"
"153631","55701_85523"
"153833","52023_81887"
"154229","53275_83097"
"154330","52369_82232"
"154431","51477_81341"
"154532","52757_82578"
"154734","51911_81775"
"154835","52874_82696"
"154936","52419_82271"
"155938","55766_85587"
"156233","51416_52851_81281"
"156334","51576_81440"
"156637","51287_81153"
"157336","51303_81168"
"157437","51519_81383"
"157942","51504_81368"
"158035","51419_81284"
"158136","51749_81613"
"158338","55699_85521"
"158540","51424_81289"
"159138","51782_81646"
"159239","51348_81213"
"159340","52273_82136"
"159441","51494_81358"
"160123","52493_82328_82671"
"160729","52796_82617"
"161327","51416_52851_81281"
"161731","51324_81189"
"162026","51392_81257"
"162228","52169_82032"
"162329","51381_81246"
"162935","55890_85710"
"163129","52326_82189"
"163331","51774_81638"
"163836","52907_82729"
"164030","51785_81649"
"164131","52342_82205"
"164636","55955_85775"
"164939","52092_81956"
"165032","52023_81887"
"165638","52801_82622"
"165840","51538_81402_82673"
"166640","51989_81853"
"167036","51435_81300"
"167743","51375_81240"
"168240","55788_85609"
"168341","51751_81615_99984_99985"
"169040","55788_85609"
"169343","51329_81194"
"169444","52269_82132"
"171330","52816_82637"
"171532","51414_81279"
"171633","52338_82201"
"172029","52753_82574"
"172130","52338_82201"
"172332","51400_81265"
"172534","51337_81202"
"172938","52150_82013"
"173334","52342_82205"
"173435","52629_82448"
"173536","52936_82758"
"173637","53230_83052"
"173940","51356_81221"
"174437","51354_81219_82525_82526"
"174841","56032_85853"
"175237","56120_85940"
"175338","53257_83079"
"175439","51305_81170"
"175540","51751_81615_99984_99985"
"175742","52195_82058"
"176037","51340_81205"
"176542","51459_81324"
"177645","52274_82137"
"178142","51603_81467"
"178243","56016_85837_99974"
"178748","52496_82331"
"178950","51891_81755"
"179245","56096_85916_99972"
"179346","51496_81360"
"180129","52089_81953"
"180432","52168_82031"
"180735","52884_82706"
"180937","52134_81998"
"181636","52921_82743"
"182436","52872_82694"
"182739","51399_81264"
"183034","51786_81650"
"185139","51375_81240"
"185341","52910_82732"
"185442","54634_84456"
"185846","55651_85473"
"185947","55699_85521"
"186141","51826_81690"
"186444","53288_83110"
"187143","51900_81764"
"187345","54643_84465"
"187547","52936_82758"
"187850","51916_81780"
"188347","52468_82308"
"188549","54623_84445"
"188751","52793_82614"
"189349","51689_81553"
"189450","52660_82479"
"190031","51890_81754"
"191033","52370_82233"
"191235","51989_81853"
"191336","51831_81695"
"191437","51295_81161"
"192035","52321_82184"
"192439","51304_81169"
"192540","51469_81334"
"192641","52894_82716"
"192843","52755_82576"
"193239","51305_81170"
"194140","51400_81265"
"194645","52450_82293"
"194746","53001_82823"
"195041","52164_82027_99980"
"195445","51628_81492"
"195647","51377_81242"
"195950","56016_85837_99974"
"196144","51377_81242"
"196750","51663_81527"
"197348","51426_81291"
"197550","51387_81252"
"198350","52629_82448"
"198451","51397_81262"
"198653","56037_85858"
"198855","52826_82647"
"199150","51478_81342"
"199251","51345_81210"
"199453","52006_81870"
"200008","55686_85508"
"200109","52936_82758"
"200311","51707_81571"
"200614","51367_81232"
"201111","51387_81252"
"201414","52514_52849_82348_99995"
"201818","51493_81357"
"202113","55754_85575"
"203923","55703_85525"
"204016","52715_82538_99977"
"204319","53230_83052"
"204420","55787_85608"
"204521","52164_82027_99980"
"204622","51106_80975"
"205119","51806_81670"
"205220","51426_81291"
"205725","51289_81155"
"205826","51820_81684"
"206525","53257_83079"
"206727","55997_85818"
"207123","55922_85742"
"207426","55769_85590"
"208024","52338_82201"
"208125","54624_84446"
"208226","51290_81156"
"208327","52875_82697"
"209127","52269_82132"
"209228","55706_85528"
"209834","52587_82406_99978"
"209935","52496_82331"
"210011","52291_82154"
"210415","51755_81619"
"210617","51347_81212"
"211114","52535_82366"
"211316","51751_81615_99984_99985"
"211417","51494_81358"
"211821","52697_82516"
"211922","51673_81537"
"212116","51916_81780"
"212217","52638_82457"
"212318","51310_81175"
"212419","52274_82137"
"212823","56032_85853"
"214019","51377_81242"
"214221","51789_81653_82529"
"214423","51436_81301"
"214524","55955_85775"
"214726","52370_82233"
"217126","52273_82136"
"217429","51488_81352"
"219231","51852_81716"
"220721","52125_81989"
"221319","51538_81402_82673"
"223929","51798_81662"
"227432","54646_84468"
"228434","55892_85712"
"233326","51698_81562"
"239136","51399_81264"
"239944","52141_82005"
"245333","52379_82242"
"246133","51459_81324"
"248339","55787_85608"
"249947","51348_81213"
"250427","51287_81153"
"250932","51451_81316"
"251833","51755_81619"
"255639","51488_81352"
"255740","55740_85561"
"256540","51644_81508_99994"
"257845","55793_85614"
"263436","55651_85473"
"268749","56066_85887"
"268850","52535_82366"
"275645","56064_85885"
"283543","55890_85710"
"285345","52874_82696"
"285446","51864_81728"
"286650","55844_85665"
"287248","51533_81397"
"289555","51090_80960_99983"
"290136","54645_84467"
"293748","51310_81175"
"295146","51627_81491_99981"
"298051","51299_81165"
"298455","52498_82333"
"300618","52468_82308"
"303119","52564_82389"
"303624","51782_81646"
"304020","51355_81220"
"304727","52910_82732"
"305830","56096_85916_99972"
"307127","51355_81220"
"309636","53087_82909"
"310621","51338_81203"
"311320","52873_82695_99975"
"316633","52649_82468"
"316835","55732_85553"
"318637","55763_85584"
"322224","51414_81279"
"329440","51348_81213"
"329844","54603_84425"
"330324","55754_85575"
"333330","53303_83125"
"334635","51900_81764"
"341834","52848_82669"
"342129","52823_82644"
"346137","52938_82760"
"346945","52962_82784"
"348545","54655_84477"
"349244","55826_85647"
"352132","52312_82175"
"352738","51698_81562"
"353740","56066_85887"
"356948","52169_82032"
"358144","55963_85784"
"361941","52049_81913"
"365343","52251_82114"
"366042","51749_81613"
"366446","51394_81259"
"368551","51831_81695"
"371843","51459_81324"
"377451","52169_82032"
"378857","51533_81397"
"379657","56073_85894"
"380036","52291_82154"
"381038","52185_82048"
"381543","55717_85538"
"385450","52291_82154"
"387959","55795_85616"
"389357","52364_82227"
"390645","51416_52851_81281"
"392447","52270_82133"
"395958","52769_82590_99986"
"397154","52761_82582_99976"
"397760","51809_81673"
"397861","51774_81638"
"406432","52385_82248"
"406836","56120_85940"
"412528","51519_81383"
"414229","51715_81579"
"422632","51613_81477"
"424939","55795_85616"
"429040","51303_81168"
"432332","56102_85922"
"436239","51485_81349"
"436845","51613_81477"
"441939","51494_81358"
"445543","51553_81417"
"448347","51307_81172"
"456346","52194_82057"
"459453","51817_81681"
"467351","51809_81673"
"475855","51603_81467"
"479762","51476_81340"
"481951","55651_85473"
"485757","51806_81670"
"486759","52115_81979"
"495255","55651_85473"
"497865","52273_82136"
"499566","51417_81282"
"500222","51689_81553"
"510225","51541_81405"
"512835","51774_81638"
"513736","54634_84456"
"519950","51782_81646"
"520228","55717_85538"
"523032","53087_82909"
"524135","54655_84477"
"525541","55695_85517"
"529549","54644_84466"
"529953","55823_85644"
"530635","51469_81334"
"531536","51866_81730"
"536647","52921_82743"
"540436","52385_82248"
"541640","52649_82468"
"541943","51538_81402_82673"
"545345","51977_81841"
"547046","51465_81330"
"548250","54624_84446"
"555348","52873_82695_99975"
"557857","55901_85721"
"559053","51295_81161"
"561242","52493_82328_82671"
"562345","52941_82763"
"562446","51351_81216"
"565452","52535_82366"
"566454","52526_82359"
"567052","52076_81940"
"567961","52697_82516"
"568963","51392_81257"
"570243","52380_82243"
"571144","50371_80310"
"572045","51361_81226"
"573249","51831_81695"
"573451","54628_84450"
"579665","51320_81185"
"579867","56102_85922"
"580044","52115_81979"
"580650","55787_85608"
"580751","52969_82791"
"581349","51716_82528"
"581450","56037_85858"
"583858","51672_81536"
"585862","51486_81350"
"586460","51663_81527"
"587664","52638_82457"
"588565","55732_85553"
"592455","51769_81633"
"594156","52697_82516"
"598568","51337_81202"
"599065","52379_82242"
"599671","52795_82616"
"601127","54634_84456"
"611938","56073_85894"
"613538","51566_81430"
"615744","51707_81571"
"620434","51891_81755"
"623844","52826_82647"
"626648","56073_85894"
"627852","55844_85665"
"633847","52884_82706"
"638049","51355_81220"
"645450","51300_81166"
"645551","51833_81697"
"654350","52194_82057"
"654754","51418_81283"
"656253","51690_81554"
"660951","51533_81397"
"665254","51324_81189"
"667056","56064_85885"
"668361","51817_81681"
"671855","55754_85575"
"672756","51345_81210"
"673455","52169_82032"
"677766","51864_81728"
"677968","51279_81145"
"679568","51339_81204"
"679770","55844_85665"
"680250","52803_82624"
"680957","51418_81283"
"683256","52049_81913"
"685058","51367_81232"
"687163","52526_82359"
"690152","51866_81730"
"695768","52054_81918"
"700634","52757_82578"
"702133","51307_81172"
"704238","51715_81579"
"705341","51730_81594"
"707749","51769_81633"
"713239","51751_81615_99984_99985"
"715041","51627_81491_99981"
"715647","51339_81204"
"715950","51468_81333"
"720337","54624_84446"
"725751","52298_82161"
"727553","51561_81425"
"727654","51435_81300"
"729254","52410_82265_99979"
"729557","51400_81265"
"732243","51355_81220"
"735148","56066_85887"
"737960","53001_82823"
"742549","52761_82582_99976"
"748258","51293_81159"
"748662","52014_81878"
"749361","52442_82285"
"751348","52018_81882"
"753251","51495_81359"
"756055","52411_82266_82670"
"759869","51553_81417"
"761957","52379_82242"
"765056","52379_82242"
"769064","52803_82624"
"770352","51435_81300"
"773257","55651_85473"
"782561","52158_82021"
"784565","51639_81503"
"788876","51310_81175"
"789373","52715_82538_99977"
"792564","51375_81240"
"793465","55788_85609"
"800941","55997_85818"
"802844","51627_81491_99981"
"803240","55796_85617"
"814649","52298_82161"
"816653","52326_82189"
"820745","51769_81633"
"825048","52894_82716"
"826353","51417_81282"
"826454","51911_81775"
"833148","52442_82285"
"833249","51576_81440"
"837560","52467_82307"
"837964","52875_82697"
"841349","55963_85784"
"844961","51340_81205"
"845458","54646_84468"
"849264","56096_85916_99972"
"849971","52801_82622"
"852455","55699_85521"
"856766","51337_81202"
"856968","55694_85516"
"857263","51537_52707_81401"
"859671","51526_81390"
"861456","51367_81232"
"865363","51465_81330"
"867468","51644_81508_99994"
"870861","55793_85614"
"871762","52715_82538_99977"
"871964","51852_81716"
"872158","51495_81359"
"872562","51541_81405"
"873968","54644_84466"
"877168","51287_81153"
"877269","52410_82265_99979"
"878776","55922_85742"
"878877","52348_82211"
"882161","52638_82457"
"884064","51318_81183"
"885975","51455_81320"
"887373","51293_81159"
"889579","51399_81264"
"891667","55787_85608"
"894067","51582_81446_99982"
"894673","51469_81334"
"894774","56032_85853"
"896778","51345_81210"
"896879","51717_81581"
"898176","51749_81613"
"899885","51603_81467"
"901038","51864_81728"
"901139","51465_81330"
"901442","52269_82132"
"904044","51290_81156"
"907656","52138_82002"
"910241","51866_81730"
"912447","52753_82574"
"917255","51717_81581"
"922854","52270_82133"
"923755","55963_85784"
"926862","55763_85584"
"930449","51900_81764"
"932554","52198_82061"
"937160","51343_81208"
"942658","52938_82760"
"947668","52040_81904"
"951457","51519_81383"
"952863","52968_82790"
"955465","52038_81902"
"959574","52379_82242"
"965771","52535_82366"
"971160","52796_82617"
"978578","51945_81809"
"979984","52164_82027_99980"
"983773","52801_82622"
"984472","51455_81320"
"990366","56064_85885"
"991267","51639_81503"
"992774","51345_81210"
"993675","55800_85621"
"996782","51541_81405"
